key,message,comment,context
Address,,,
Addresses,,,
All Events,,,
Amount,,,
Amount Collected,,,
Before Days,,,
Before Days exceeds the Differenence of Registration Open and Close Date,Avant le nombre de jours dépasse la différence entre les dates d'ouverture et de fermeture des inscriptions,,
Binding File,,,
Booking Closed Event is Housefull,Réservation fermée événement est Housefull,,
Capacity,,,
City,,,
Closing Date of Registration can never be After the Start Date of the Event,La date de clôture de l'inscription ne peut jamais être postérieure à la date de début de l'événement,,
Closing date Cannot be Before of Opening Date,Date de clôture ne peut pas être antérieure à la date d'ouverture,,
Content,,,
Country,,,
Data File,,,
Delete,,,
Description,,,
Dicount,,,
Discount,,,
Discount Amount,,,
Discount Percentage,,,
Discounts,,,
Email,,,
Email Sent,,,
End Date,,,
End Date Cannot be Before Start Date,La date de fin ne peut pas être antérieure à la date de début,,
Event,,,
Event Fees,,,
Event Registration,,,
Event Registrations,,,
Events,,,
Flat/House No.,,,
Genral Information,,,
Import,,,
Import Registration of This Event,,,
Import registration,,,
Important Dates,,,
Informations,,,
Message destinated to,,,
Name,,,
No. of Registration is more Than total capacity of Event,Le nombre d'inscriptions est supérieur à la capacité totale de l'événement,,
Only '.csv' file should be uploaded,Seul le fichier '.csv' doit être téléchargé,,
Personal Information,,,
Please Enter Both File,,,
Print,,,
Recipient address,,,
Recipients,,,
Reference,,,
Registration Close,,,
Registration Close as Event is HouseFull,L'inscription est proche car l'événement est HouseFull,,
Registration Date,,,
Registration Date is not in the Registration Period.,La date d'inscription n'est pas dans la période d'inscription.,,
Registration Open,,,
Regitration Closing Date Cannot Be Before Registration Opening Date,La date de clôture de l’inscription ne peut pas être antérieure à la date d’ouverture de l’enregistrement,,
Related to,,,
Report this Event,,,
Send,,,
SendEmail,,,
Start Date,,,
"Street, LandMark",,,
Subject,,,
Total Discount,,,
Total Entries,,,
Venue,,,
whatever@example.com,,,
{{record.reference}},,,
